Category,Multi Asset Allocation,Mutual Fund,Scheme Name,Scheme Code,Primary Benchmark (Most Common)
Other Scheme,Index Funds,Edelweiss,Edelweiss CRISIL IBX AAA Bond NBFC HFC Jun 2027 Index Fund - Regular Plan - Growth Option,153334,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss CRISIL IBX AAA Bond NBFC HFC Jun 2027 Index Fund - Regular Plan - IDCW Option,153336,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Regular - Growth,153130,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Regular - IDCW - Payout,153129,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund - Regular Plan - IDCW Option,148558,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss MSCI India Domestic & World Healthcare 45 index Fund Regular Plan - Growth,148557,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty 100 Quality 30 Index Fund Regular Plan Growth,149256,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty 100 Quality 30 Index Fund Regular Plan IDCW,149257,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty 50 Index Fund Regular Plan Growth,149252,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty 50 Index Fund Regular Plan IDCW,149253,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Alpha Low Volatility 30 Index Fund - Regular Plan - Growth,152617,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Alpha Low Volatility 30 Index Fund - Regular Plan - IDCW Payout,152618,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss NIFTY Large Midcap 250 Index Fund - Regular Plan Growth,149341,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss NIFTY Large Midcap 250 Index Fund - Regular Plan Payout,149342,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Regular Plan - Growth,150900,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Regular Plan - IDCW,150901,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Next 50 Index Fund - Regular Plan - Growth,150897,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Next 50 Index Fund - Regular Plan - IDCW,150898,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50: 50 Index Fund - Regular Plan - IDCW Option,148794,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Regular Plan - Growth,148797,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Fund - Regular Plan - Growth,149249,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Fund - Regular Plan - IDCW,149248,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Smallcap 250 Index Fund - Regular Plan - Growth,150894,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty Smallcap 250 Index Fund - Regular Plan - IDCW,150893,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund - Regular - Growth,152988,Nifty 500 TRI
Other Scheme,Index Funds,Edelweiss,Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund - Regular - IDCW - Payout,152983,Nifty 500 TRI
Other Scheme,Gold ETF,Edelweiss,Edelweiss Gold ETF,152193,Domestic Price of Gold
Other Scheme,Other  ETFs,Bharat,Bharat Bond ETF - April 2030,147849,Nifty 500 TRI
Other Scheme,Other  ETFs,BHARAT,BHARAT Bond ETF - April 2032,149398,Nifty 500 TRI
Other Scheme,Other  ETFs,BHARAT,BHARAT Bond ETF - April 2033,150987,Nifty 500 TRI
Other Scheme,Other  ETFs,BHARAT,BHARAT Bond ETF- April 2031,148445,Nifty 500 TRI
Other Scheme,Other  ETFs,Edelweiss,Edelweiss BSE Capital Markets & Insurance  ETF - Growth,153180,Nifty 500 TRI
Other Scheme,Other  ETFs,Edelweiss,Edelweiss Nifty 1D Rate Liquid ETF - Growth,153920,Nifty 500 TRI
Other Scheme,Other  ETFs,Edelweiss,Edelweiss Nifty Bank ETF - Growth,152857,Nifty 500 TRI
Other Scheme,Other  ETFs,Edelweiss,Edelweiss Nifty LargeMidcap 250 ETF - Growth,153841,Nifty 500 TRI
Other Scheme,Other  ETFs,Edelweiss,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF - Growth,152981,Nifty 500 TRI
Other Scheme,Other  ETFs,Edelweiss,Edelweiss Silver ETF,152212,Nifty 500 TRI
Other Scheme,FoF Overseas,Edelweiss,Edelweiss ASEAN Equity Off-shore Fund - Regular Plan - Growth Option,140255,MSCI World Index
Other Scheme,FoF Overseas,Edelweiss,Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Regular Plan - Growth Option,140328,MSCI World Index
Other Scheme,FoF Overseas,Edelweiss,Edelweiss Europe Dynamic Equity Offshore Fund - Growth Option - Regular Plan,140295,MSCI World Index
Other Scheme,FoF Overseas,Edelweiss,Edelweiss Greater China Equity Off-shore Fund - Regular Plan - Growth Option,140242,MSCI World Index
Other Scheme,FoF Overseas,Edelweiss,Edelweiss US Technology Equity Fund of Fund- Regular Plan- Growth,148064,MSCI World Index
Other Scheme,FoF Overseas,Edelweiss,Edelweiss US Value Equity Offshore Fund - Regular Plan - Growth Option,140273,MSCI World Index
Other Scheme,FoF Domestic,Bharat Bond FOF,BHARAT Bond ETF FOF - April 2032 Regular Plan Dividend,149400,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Bharat Bond FOF,BHARAT Bond ETF FOF - April 2032 Regular Plan Growth,149399,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Bharat Bond FOF,BHARAT Bond ETF FOF - April 2033 - Regular Plan - Growth,150991,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Bharat Bond FOF,BHARAT Bond ETF FOF - April 2033 - Regular Plan - IDCW,150988,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Bharat Bond FOF,Bharat Bond FOF - April 2030 - Regular Plan - Growth Option,147854,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Bharat Bond FOF,BHARAT Bond FOF - April 2030 - Regular Plan - IDCW Option,147856,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Bharat Bond FOF,BHARAT Bond FOF - April 2031 - Regular Plan - IDCW Option,148451,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Bharat Bond FOF,BHARAT Bond FOF- April 2031- Regular Plan- Growth Option,148452,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Edelweiss,Edelweiss Gold and Silver ETF FOF - Regular Plan - Growth,150579,Domestic Price of Gold
Other Scheme,FoF Domestic,Edelweiss,Edelweiss Gold and Silver ETF FOF - Regular Plan - IDCW,150580,Domestic Price of Gold
Other Scheme,FoF Domestic,Edelweiss,Edelweiss Income Plus Arbitrage Active Fund of Fund - Regular - Dividend- Payout,153714,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Edelweiss,Edelweiss Income Plus Arbitrage Active Fund of Funds - Regular-Growth,153713,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Edelweiss,Edelweiss Multi Asset Omni Fund of Fund- Regular Plan - Growth,153779,Nifty 50 Arbitrage Index
Other Scheme,FoF Domestic,Edelweiss,Edelweiss Multi Asset Omni Fund of Fund- Regular Plan - IDCW,153778,Nifty 50 Arbitrage Index
Equity Scheme,Flexi Cap Fund,Edelweiss,Edelweiss Flexi Cap Fund - Regular - IDCW Option,140356,NIFTY 500 TRI
Equity Scheme,Flexi Cap Fund,Edelweiss,Edelweiss Flexi Cap Fund - Regular Plan - Growth Option,140355,NIFTY 500 TRI
Equity Scheme,Multi Cap Fund,Franklin India,Franklin India Multi Cap Fund - Growth,152738,NIFTY 500 Multicap 50:25:25 TRI
Equity Scheme,Multi Cap Fund,Franklin India,Franklin India Multi Cap Fund - IDCW,152740,NIFTY 500 Multicap 50:25:25 TRI
Equity Scheme,Large Cap Fund,Franklin India,Franklin India Large Cap Fund - IDCW,100470,NIFTY 100 TRI
Equity Scheme,Large Cap Fund,Franklin India,Franklin India Large Cap Fund-Growth,100471,NIFTY 100 TRI
Equity Scheme,Large & Mid Cap Fund,Franklin India,Franklin India Large & Mid Cap Fund - Growth Plan,102883,NIFTY LargeMidcap 250 TRI
Equity Scheme,Large & Mid Cap Fund,Franklin India,Franklin India Large & Mid Cap Fund - IDCW,102884,NIFTY LargeMidcap 250 TRI
Equity Scheme,Mid Cap Fund,Franklin India,Franklin India Mid Cap Fund - IDCW,100472,NIFTY Midcap 150 TRI
Equity Scheme,Mid Cap Fund,Franklin India,Franklin India Mid Cap Fund-Growth,100473,NIFTY Midcap 150 TRI
Equity Scheme,Small Cap Fund,Franklin India,Franklin India Small Cap Fund - IDCW,103361,NIFTY Smallcap 250 TRI
Equity Scheme,Small Cap Fund,Franklin India,Franklin India Small Cap Fund-Growth,103360,NIFTY Smallcap 250 TRI
Equity Scheme,Dividend Yield Fund,Franklin India,Franklin India Dividend Yield Fund - IDCW,103679,NIFTY 500 TRI
Equity Scheme,Dividend Yield Fund,Franklin India,Franklin India Dividend Yield Fund-Growth Plan,103678,NIFTY 500 TRI
Equity Scheme,Value Fund,Franklin India,Templeton India Value Fund - Growth Plan,100496,NIFTY 500 TRI
Equity Scheme,Value Fund,Franklin India,Templeton India Value Fund - IDCW,100497,NIFTY 500 TRI
Equity Scheme,Focused Fund,Franklin India,Franklin India Focused Equity Fund - Growth Plan,105817,NIFTY 500 TRI
Equity Scheme,Focused Fund,Franklin India,Franklin India Focused Equity Fund - IDCW,105816,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin Asian Equity Fund - Growth Plan,106979,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin Asian Equity Fund - IDCW,106978,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin Build India Fund - IDCW,112093,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin Build India Fund Growth Plan,112092,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin India Opportunities Fund - Growth,103151,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin INDIA OPPORTUNITIES FUND - IDCW,100524,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin India Technology Fund - IDCW,100521,NIFTY IT TRI
Equity Scheme,Sectoral/ Thematic,Franklin India,Franklin India Technology Fund-Growth,100522,NIFTY IT TRI
Equity Scheme,ELSS,Franklin India,Franklin India ELSS Tax Saver Fund - IDCW,100525,NIFTY 500 TRI
Equity Scheme,ELSS,Franklin India,Franklin India ELSS Tax Saver Fund-Growth,100526,NIFTY 500 TRI
Debt Scheme,Overnight Fund,Franklin India,Franklin India Overnight Fund - Daily Dividend Plan - Daily - IDCW,147215,NIFTY 1D Rate Index
Debt Scheme,Overnight Fund,Franklin India,Franklin India Overnight Fund - Weekly Dividend Plan - Weekly - IDCW,147216,NIFTY 1D Rate Index
