Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
Edelweiss Silver ETF,commodity,Commodities: Silver,INF754K01WN2,153690,Direct,105.57,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43921/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss Silver ETF FoF Dir,commodity,Commodities: Silver,INF754K01OX5,152197,Direct,,,,Domestic Prices of Silver,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45702/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Silver ETF,commodity,Commodities: Silver,INF666M01OF5,152965,Direct,104.61,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45150/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Silver ETF FoF Dir,commodity,Commodities: Silver,INF666M01JA0,152963,Direct,97.7,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45153/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HDFC Silver ETF,commodity,Commodities: Silver,INF179KC1DN1,151857,Direct,105.33,46.28,,Domestic Prices of Silver,112.94,48.78,,-1.24,1,0.95,43.72,47.3,,,,,1,https://www.valueresearchonline.com/funds/42489/,4,6,1,6,N/A,17,Moderately High Risk
HDFC Silver ETF FoF Dir,commodity,Commodities: Silver,INF179KC1DU7,151859,Direct,102.36,45.54,,Domestic Prices of Silver,112.94,48.78,,0.96,0.9,1,39.41,45.32,,,,,1,https://www.valueresearchonline.com/funds/42666/,6,8,1,4,N/A,19,Moderate Risk
ICICI Pru Silver ETF,commodity,Commodities: Silver,INF109KC1Y56,147518,Direct,106.37,46.69,,Domestic Prices of Silver,112.94,48.78,,-0.63,0.98,0.97,42.8,47.18,,,,,1,https://www.valueresearchonline.com/funds/41982/,4,6,1,5,N/A,16,Moderately High Risk
ICICI Pru Silver ETF FoF Dir,commodity,Commodities: Silver,INF109KC1Y98,149775,Direct,101.96,45.56,,Domestic Prices of Silver,112.94,48.78,,3.27,0.83,1.05,36.78,44.46,,,,,1,https://www.valueresearchonline.com/funds/42023/,10,8,1,2,N/A,21,Moderate Risk
Kotak Silver ETF,commodity,Commodities: Silver,INF174KA1HW6,151860,Direct,106.02,46.52,,Domestic Prices of Silver,112.94,48.78,,-0.71,0.98,0.96,42.73,47.04,,,,,1,https://www.valueresearchonline.com/funds/42858/,4,6,1,5,N/A,16,Moderately High Risk
Kotak Silver ETF FoF Dir,commodity,Commodities: Silver,INF174KA1XT4,152780,Direct,103.98,45.56,,Domestic Prices of Silver,112.94,48.78,,3.14,0.83,1.05,36.86,44.4,,,,,1,https://www.valueresearchonline.com/funds/43295/,10,8,1,2,N/A,21,Moderate Risk
Mirae Asset Silver ETF,commodity,Commodities: Silver,INF769K01PL5,153810,Direct,105.77,46.46,,Domestic Prices of Silver,112.94,48.78,,-0.64,0.97,0.97,42.55,46.93,,,,,1,https://www.valueresearchonline.com/funds/43544/,4,6,1,5,N/A,16,Moderately High Risk
Mirae Asset Silver ETF FoF Dir,commodity,Commodities: Silver,INF769K01PM3,153812,Direct,,,,Domestic Prices of Silver,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45902/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Motilal Oswal Silver ETF,commodity,Commodities: Silver,INF247L01GA4,153782,Direct,,,,Domestic Prices of Silver,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45453/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Nippon India Silver ETF,commodity,Commodities: Silver,INF204KB18I3,147516,Direct,105.6,46.29,,Domestic Prices of Silver,112.94,48.78,,-0.82,0.98,0.96,42.65,46.85,,,,,1,https://www.valueresearchonline.com/funds/41984/,4,6,1,5,N/A,16,Moderately High Risk
Nippon India Silver ETF FoF Dir,commodity,Commodities: Silver,INF204KC1378,147519,Direct,102.16,45.33,,Domestic Prices of Silver,112.94,48.78,,-1.59,0.98,0.94,42.86,46.24,,,,,1,https://www.valueresearchonline.com/funds/41987/,4,6,1,5,N/A,16,Moderately High Risk
SBI Silver ETF,commodity,Commodities: Silver,INF200K01RO1,152998,Direct,105.8,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44407/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
SBI Silver ETF FoF Dir,commodity,Commodities: Silver,INF200K01RQ7,153000,Direct,105.16,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44422/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Tata Silver ETF,commodity,Commodities: Silver,INF277KA1984,152291,Direct,104.31,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44020/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Tata Silver ETF FoF Dir,commodity,Commodities: Silver,INF277KA1943,152293,Direct,98.85,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44026/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
UTI Silver ETF,commodity,Commodities: Silver,INF789F1AYK6,151729,Direct,103.96,45.65,,Domestic Prices of Silver,112.94,48.78,,-1.06,0.97,0.96,42.47,46.4,,,,,1,https://www.valueresearchonline.com/funds/43485/,4,6,1,5,N/A,16,Moderately High Risk
