Date,Price
16-07-2021,262.46
15-07-2021,264.81
14-07-2021,261.77
13-07-2021,262.84
12-07-2021,258.88
09-07-2021,256.86
08-07-2021,256.03
07-07-2021,261.95
06-07-2021,263.26
05-07-2021,264.55
02-07-2021,265.33
01-07-2021,269.95
30-06-2021,271
29-06-2021,271.27
28-06-2021,272.2
25-06-2021,271.04
24-06-2021,267.48
23-06-2021,266.31
22-06-2021,261.87
21-06-2021,263.44
18-06-2021,266.93
17-06-2021,266.38
16-06-2021,265.33
15-06-2021,268.23
14-06-2021,269.46
11-06-2021,269.28
10-06-2021,268.77
09-06-2021,267.27
08-06-2021,268.15
07-06-2021,268.87
04-06-2021,270.08
03-06-2021,270.62
02-06-2021,273.42
01-06-2021,275.46
31-05-2021,272
28-05-2021,268.84
27-05-2021,268.29
26-05-2021,268.43
25-05-2021,266.71
24-05-2021,261.27
21-05-2021,262.16
20-05-2021,262.82
19-05-2021,262.1
18-05-2021,262.58
17-05-2021,256.97
14-05-2021,256.06
13-05-2021,251.86
12-05-2021,258.49
11-05-2021,260.26
10-05-2021,264.88
07-05-2021,267.5
06-05-2021,267.1
05-05-2021,266.14
04-05-2021,268.27
03-05-2021,268.89
30-04-2021,271.71
29-04-2021,275.12
28-04-2021,275.15
27-04-2021,274.87
26-04-2021,274.54
23-04-2021,273.79
22-04-2021,269.85
21-04-2021,268.7
20-04-2021,270.86
19-04-2021,271.09
16-04-2021,269.76
15-04-2021,268.15
14-04-2021,267.98
13-04-2021,265.77
12-04-2021,265.98
09-04-2021,266.69
08-04-2021,269.69
07-04-2021,267.81
06-04-2021,270.9
05-04-2021,268.94
02-04-2021,269.15
01-04-2021,268.91
31-03-2021,263.72
30-03-2021,265.66
29-03-2021,263.43
26-03-2021,262.72
25-03-2021,258.42
24-03-2021,260.08
23-03-2021,267.41
22-03-2021,270.34
19-03-2021,270.06
18-03-2021,273.47
17-03-2021,272.36
16-03-2021,272.1
15-03-2021,270.36
12-03-2021,272.15
11-03-2021,275.83
10-03-2021,267.74
09-03-2021,266.72
08-03-2021,263.39
05-03-2021,272.28
04-03-2021,273.5
